_id,annee,cumul_periode,rss,region,nom_etablissement,nom_installation,no_permis_installation,nb_visites_total,nb_usagers_75ans_et_plus_total,nb_usagers_sante_mentale_total,dms_total,nb_usagers_pec_total,delai_pec_total,nb_visites_ambulatoire,nb_usagers_75ans_et_plus_amb,nb_usagers_sante_mentale_amb,dms_ambulatoire,nb_usagers_pec_ambulatoire,delai_pec_ambulatoire,nb_visites_sur_civiere,nb_usagers_sur_civiere_plus_24h,nb_usagers_sur_civiere_plus_48h,dms_sur_civiere,nb_usagers_pec_sur_civiere,delai_pec_sur_civiere,nb_usagers_75ans_et_plus_civ,nb_usagers_sante_mentale_civ
26,2023-2024,4,05,Estrie,Total régional,Total régional,,69086,11271,3792,8.5770943381,56950,3.2368633548,45055,4208,1263,5.244929956,33056,4.1579855145,24031,4709,967,14.824469239,23894,1.9625428513,7063,2529
27,2023-2024,4,11,Gaspésie-Îles-de-la-Madeleine,Total régional,Total régional,,28864,4731,1190,5.2949778367,25888,1.7745397696,23128,2864,787,3.3243737869,20221,1.9075954041,5736,932,219,13.240607276,5667,1.2997704057,1867,403
28,2023-2024,4,14,Lanaudière,Total régional,Total régional,,42930,7708,2688,10.234663127,30736,4.0043394011,28265,2555,1433,6.1533641135,16160,5.0346851966,14665,4275,517,18.100869512,14576,2.8620240845,5153,1255
29,2023-2024,4,15,Laurentides,Total régional,Total régional,,55786,9907,3820,11.451045448,42227,3.8977121536,36278,3676,1153,6.3966766283,22896,4.8976170146,19508,6104,1718,20.8503889,19331,2.7134060289,6231,2667
30,2023-2024,4,13,Laval,Total régional,Total régional,,27068,5273,1731,9.1599121862,20941,2.7609818591,17345,1689,410,5.1288289132,11239,3.5173074166,9723,1886,196,16.351019804,9702,1.8848384926,3584,1321
31,2023-2024,4,04,Mauricie et Centre-du-Québec,Total régional,Total régional,,69625,12090,3504,7.1835740076,54968,2.8699119892,45508,4126,1083,4.3420535645,31256,3.5157189375,24117,3324,208,12.5454313,23712,2.0186408195,7964,2421
32,2023-2024,4,06,Montréal,Total régional,Total régional,,253674,36353,18558,10.832771293,210117,2.6326974363,155896,10247,6348,5.637153421,113610,3.4000459491,97778,25858,7550,19.116598369,96507,1.7293591858,26106,12210
33,2023-2024,4,16,Montérégie,Total régional,Total régional,,111055,20586,6732,10.752300849,82247,3.5573428818,71656,7457,2606,5.7705568387,43121,4.2088165666,39399,11312,3428,19.812730019,39126,2.8393498143,13129,4126
34,2023-2024,4,07,Outaouais,Total régional,Total régional,,45945,6112,2526,9.6700113481,33955,3.2422422078,34238,2998,1114,4.804789537,22501,3.2229052659,11707,3523,1759,23.898717624,11454,3.2802289836,3114,1412
35,2023-2024,4,02,Saguenay-Lac-Saint-Jean,Total régional,Total régional,,52506,8275,2681,6.0011340238,45129,2.6192885641,35752,3576,1051,3.7451236217,28669,2.9370027537,16754,1413,106,10.815320719,16460,2.0659138315,4699,1630
36,2024-2025,4,08,Abitibi-Témiscamingue,Total régional,Total régional,,39029,4697,2103,5.9922728043,32933,3.0351642645,31716,2597,1531,4.8463820487,25701,3.3451016822,7313,745,84,10.961925642,7232,1.9337121666,2100,572
37,2024-2025,4,01,Bas-Saint-Laurent,Total régional,Total régional,,48014,8202,1875,4.5843113293,41559,2.0062063171,36855,4187,1152,3.2692635554,30556,2.1975077363,11159,584,51,8.9275397288,11003,1.4749506448,4015,723
38,2024-2025,4,03,Capitale-Nationale,Total régional,Total régional,,130913,22550,7253,7.1371777779,108200,2.028154372,86715,8720,2588,3.7876565025,64341,2.5000248502,44198,7095,1037,13.708826663,43859,1.3359220266,13830,4665
39,2024-2025,4,12,Chaudière-Appalaches,Total régional,Total régional,,79855,13386,3347,6.1902017233,69001,2.0431176521,62402,6814,1687,3.5798324261,51576,2.4080528303,17453,3294,876,15.523397442,17425,0.9629514108,6572,1660
40,2024-2025,4,09,Côte-Nord,Total régional,Total régional,,34664,4238,1889,6.3492286907,27480,3.1740653,27551,2508,1141,4.5046244944,20543,3.3696485962,7113,1042,328,13.493990424,6937,2.5948714622,1730,748
41,2024-2025,4,05,Estrie,Total régional,Total régional,,79243,13127,4020,8.5865887734,64525,3.7521817857,52307,4924,1449,5.9190143501,37802,4.836820061,26936,4322,556,13.766749724,26723,2.2178669228,8203,2571
42,2024-2025,4,11,Gaspésie-Îles-de-la-Madeleine,Total régional,Total régional,,34274,5870,1295,4.8873760398,30108,2.0235790229,27536,3689,814,3.5147433763,23470,2.1815516617,6738,633,76,10.49687634,6638,1.4650346071,2181,481
43,2024-2025,4,14,Lanaudière,Total régional,Total régional,,49136,9137,3136,9.785550315,36664,3.5010597589,32130,2933,1623,5.69826602,19739,4.3821134978,17006,4704,432,17.507792135,16925,2.4735194485,6204,1513
44,2024-2025,4,15,Laurentides,Total régional,Total régional,,65392,11799,4354,11.614657387,50427,3.7072558737,42346,4279,1411,6.1505004474,27547,4.6350453467,23046,7261,2318,21.654802738,22880,2.5902184343,7520,2943
45,2024-2025,4,13,Laval,Total régional,Total régional,,30184,5850,2007,10.094328204,23626,3.6052236119,18820,1816,416,6.2638073267,12305,4.6793531085,11364,2396,160,16.438080659,11321,2.4377328024,4034,1591
46,2024-2025,4,04,Mauricie et Centre-du-Québec,Total régional,Total régional,,82086,14758,4138,7.0264326438,65039,3.1104432853,53287,5255,1215,4.7155391767,36752,3.8787747001,28799,2740,130,11.302295701,28287,2.1121855642,9503,2923
47,2024-2025,4,06,Montréal,Total régional,Total régional,,293987,42982,20828,10.359036434,240155,2.676824493,179921,11912,7103,5.4792713978,127399,3.4668777533,114066,28501,7306,18.056090816,112756,1.784171372,31070,13725
48,2024-2025,4,16,Montérégie,Total régional,Total régional,,123831,23736,8036,11.140956795,90253,3.9414325347,77154,8363,2966,5.9719834573,44084,4.8160685913,46677,13509,3997,19.684928534,46169,3.1062951933,15373,5070
49,2024-2025,4,07,Outaouais,Total régional,Total régional,,53118,7638,3139,9.2970567259,40118,3.954141304,38820,3510,1347,5.3391234258,26312,3.8225507901,14298,4009,1209,20.043103076,13806,4.2049315113,4128,1792
50,2024-2025,4,02,Saguenay-Lac-Saint-Jean,Total régional,Total régional,,61332,10031,2924,6.2101834551,52128,2.8933888804,42328,4420,1084,4.0820341277,33455,3.2810325479,19004,1615,90,10.950254215,18673,2.1988770774,5611,1840
51,2025-2026,4,08,Abitibi-Témiscamingue,Total régional,Total régional,,35614,4880,1874,5.6984895687,30099,2.7442977157,28657,2898,1359,4.4526012357,23235,3.0171773307,6957,612,26,10.830503649,6864,1.8205859071,1982,515
52,2025-2026,4,01,Bas-Saint-Laurent,Total régional,Total régional,,44630,8462,1835,4.8289405358,38529,2.1385363334,33641,4485,1091,3.4195657663,27731,2.3327623919,10989,579,30,9.1435075227,10798,1.6397325894,3977,744
53,2025-2026,4,03,Capitale-Nationale,Total régional,Total régional,,126785,23269,7024,6.9196305557,104964,1.9490329462,84096,9247,2558,3.7352027346,62579,2.3824421176,42689,5748,714,13.192854151,42385,1.3091293828,14022,4466
54,2025-2026,4,12,Chaudière-Appalaches,Total régional,Total régional,,76037,13528,3399,6.4920468069,67345,1.8099389668,58568,6927,1706,3.6612692654,49900,2.1164498386,17469,3721,767,15.982743415,17445,0.9331896118,6601,1693
55,2025-2026,4,09,Côte-Nord,Total régional,Total régional,,31467,3879,1803,7.1326828459,26073,2.9198417477,24400,2217,1100,5.1879551799,19168,3.0947631034,7067,1189,308,13.847180518,6905,2.4342671575,1662,703
56,2025-2026,4,05,Estrie,Total régional,Total régional,,77085,13730,4086,8.1273796458,63088,3.2412947699,49193,5163,1447,5.2892343536,35432,4.1957147729,27892,4003,601,13.133004247,27656,2.0185217895,8567,2639
57,2025-2026,4,11,Gaspésie-Îles-de-la-Madeleine,Total régional,Total régional,,31800,5859,1250,5.086346008,27986,1.9577748299,25285,3732,825,3.3954091029,21554,2.1084744389,6515,795,142,11.648946107,6432,1.452771818,2127,425
58,2025-2026,4,14,Lanaudière,Total régional,Total régional,,51324,9604,3232,8.533150221,39107,2.8824963704,34122,3282,1690,5.0401868459,21984,3.4795699777,17202,3531,155,15.461815277,17123,2.1159212268,6322,1542
59,2025-2026,4,15,Laurentides,Total régional,Total régional,,64614,12507,4265,11.450701963,50093,3.5210859524,41062,4432,1346,5.8233870123,26728,4.3689567017,23552,7228,2270,21.261707675,23365,2.5511784245,8075,2919
60,2025-2026,4,13,Laval,Total régional,Total régional,,28262,5631,1973,11.569603924,22239,3.5908697558,17056,1612,385,5.9671877769,11080,4.456218211,11206,3587,547,20.096715277,11159,2.7316475242,4019,1588
61,2025-2026,4,04,Mauricie et Centre-du-Québec,Total régional,Total régional,,77741,14032,4060,6.5963467547,60866,2.7819865223,49506,4853,1251,4.2100114128,33267,3.3856515716,28235,2271,74,10.780441582,27599,2.0543469268,9179,2809
62,2025-2026,4,06,Montréal,Total régional,Total régional,,282525,43151,21027,10.313441432,233380,2.497995345,171854,12116,6915,5.213393095,123685,3.2192618547,110671,27142,7019,18.232984103,109695,1.6847417942,31035,14112
63,2025-2026,4,16,Montérégie,Total régional,Total régional,,119715,23887,7939,10.462644728,89264,3.6607096615,71336,7829,2645,5.3744406634,41353,4.4012784979,48379,11959,3042,17.965324096,47911,3.0215089958,16058,5294
64,2025-2026,4,07,Outaouais,Total régional,Total régional,,53755,7970,2845,9.7077279375,39476,4.1632705807,39128,3596,1101,5.4083564129,25416,3.9817684508,14627,4302,1534,21.208774565,14060,4.4913685989,4374,1744
65,2025-2026,4,02,Saguenay-Lac-Saint-Jean,Total régional,Total régional,,58441,9997,3026,6.2949262314,49364,2.7909875843,40347,4697,1328,4.2122714411,31596,3.1163343813,18094,1449,55,10.938944847,17768,2.2124386538,5300,1698
66,2026-2027,4,08,Abitibi-Témiscamingue,Total régional,Total régional,,35702,5195,1932,5.9958233588,29854,2.9160912459,28728,3071,1421,4.6609171753,22960,3.2315083841,6974,777,61,11.494702745,6894,1.8656158334,2124,511
67,2026-2027,4,01,Bas-Saint-Laurent,Total régional,Total régional,,44644,8796,1968,5.0245034109,38397,2.1911319027,33826,4600,1182,3.4916561389,27739,2.3923440924,10818,681,55,9.8174495953,10658,1.6674478222,4196,786
