_id,annee,cumul_periode,rss,region,nom_etablissement,nom_installation,no_permis_installation,nb_visites_total,nb_usagers_75ans_et_plus_total,nb_usagers_sante_mentale_total,dms_total,nb_usagers_pec_total,delai_pec_total,nb_visites_ambulatoire,nb_usagers_75ans_et_plus_amb,nb_usagers_sante_mentale_amb,dms_ambulatoire,nb_usagers_pec_ambulatoire,delai_pec_ambulatoire,nb_visites_sur_civiere,nb_usagers_sur_civiere_plus_24h,nb_usagers_sur_civiere_plus_48h,dms_sur_civiere,nb_usagers_pec_sur_civiere,delai_pec_sur_civiere,nb_usagers_75ans_et_plus_civ,nb_usagers_sante_mentale_civ
342,2023-2024,5,01,Bas-Saint-Laurent,SANTÉ QUÉBEC BAS-SAINT-LAURENT,HÔPITAL RÉGIONAL DE RIMOUSKI,51227882,11630,2170,619,5.7401735932,9364,2.4273468722,8253,930,348,4.1353228119,6021,2.8136826201,3377,167,2,9.6622445135,3343,1.7315264898,1240,271
343,2023-2024,5,02,Saguenay-Lac-Saint-Jean,SANTÉ QUÉBEC SAGUENAY - LAC-SAINT-JEAN - UNIVERSITAIRE,HÔPITAL D'ALMA,51219400,13063,1993,532,4.7943347836,10414,2.7825620959,9910,1073,245,3.6750036159,7327,3.0030924435,3153,56,0,8.3124355993,3087,2.259132923,920,287
344,2023-2024,5,02,Saguenay-Lac-Saint-Jean,SANTÉ QUÉBEC SAGUENAY - LAC-SAINT-JEAN - UNIVERSITAIRE,HÔPITAL DE CHICOUTIMI,51218394,20264,3290,1339,7.167454051,17902,2.3635532653,11695,1040,446,3.6930253907,9399,3.0885524169,8569,1111,83,11.909365964,8503,1.5621576372,2250,893
345,2023-2024,5,02,Saguenay-Lac-Saint-Jean,SANTÉ QUÉBEC SAGUENAY - LAC-SAINT-JEAN - UNIVERSITAIRE,HÔPITAL DE DOLBEAU-MISTASSINI,51219384,7755,1288,262,4.3456163049,6959,1.893448492,6452,825,137,3.0556365812,5673,2.0444574691,1303,91,14,10.733144453,1286,1.2272945827,463,125
346,2023-2024,5,02,Saguenay-Lac-Saint-Jean,SANTÉ QUÉBEC SAGUENAY - LAC-SAINT-JEAN - UNIVERSITAIRE,HÔPITAL DE LA BAIE,51221364,6886,961,227,5.2141662229,6267,2.606991738,5349,468,143,3.9445534991,4742,2.8760021557,1537,46,0,9.6326167498,1525,1.7705016393,493,84
347,2023-2024,5,02,Saguenay-Lac-Saint-Jean,SANTÉ QUÉBEC SAGUENAY - LAC-SAINT-JEAN - UNIVERSITAIRE,HÔPITAL ET CENTRE D'HÉBERGEMENT DE ROBERVAL,51228203,9169,1327,601,5.5610981447,8251,2.185895447,6279,570,203,3.3700937871,5424,2.3919766572,2890,256,23,10.321415225,2827,1.7904994498,757,398
348,2023-2024,5,02,Saguenay-Lac-Saint-Jean,SANTÉ QUÉBEC SAGUENAY - LAC-SAINT-JEAN - UNIVERSITAIRE,HÔPITAL ET CENTRE DE RÉADAPTATION DE JONQUIÈRE,51224541,9792,1768,511,7.2524275486,7762,3.9670416416,5924,662,178,4.8419073543,4045,4.3812913748,3868,220,1,10.944237691,3717,3.5162371835,1106,333
349,2023-2024,5,03,Capitale-Nationale,SANTÉ QUÉBEC - CENTRE HOSPITALIER UNIVERSITAIRE DE QUÉBEC - UNIVERSITÉ LAVAL,CENTRE HOSPITALIER DE L'UNIVERSITÉ LAVAL,51217594,26337,2270,2510,8.2475073091,21074,2.2613885725,14727,452,771,4.9568391956,9509,3.5597546476,11610,1217,432,12.421639032,11565,1.193843133,1818,1739
350,2023-2024,5,03,Capitale-Nationale,SANTÉ QUÉBEC - CENTRE HOSPITALIER UNIVERSITAIRE DE QUÉBEC - UNIVERSITÉ LAVAL,HÔPITAL DE L'ENFANT-JÉSUS,51233914,23345,4005,2915,9.7701328502,21147,1.5507849156,13028,1364,775,3.9371351875,10894,1.9503776289,10317,2188,567,17.135868389,10253,1.1262103504,2641,2140
351,2023-2024,5,03,Capitale-Nationale,SANTÉ QUÉBEC - CENTRE HOSPITALIER UNIVERSITAIRE DE QUÉBEC - UNIVERSITÉ LAVAL,HÔPITAL DU SAINT-SACREMENT,51217529,13221,3143,360,7.3422144064,11052,1.8844945108,9215,1241,141,3.4095027733,7064,2.2338468919,4006,970,124,16.388629209,3988,1.2656817675,1902,219
